year,state_po,district,candidate,party,candidatevotes,WINNER
2018,AL,1,Robert Kennedy Jr.,democrat,89226,Bradley Byrne
2018,AL,1,Bradley Byrne,republican,153228,
2018,AL,1,NA,NA,163,
2018,AL,2,Martha Roby,republican,138879,Martha Roby
2018,AL,2,Tabitha Isner,democrat,86931,
2018,AL,2,NA,NA,420,
2018,AL,3,Mike Rogers,republican,147770,Mike Rogers
2018,AL,3,Mallory Hagan,democrat,83996,
2018,AL,3,NA,NA,149,
2018,AL,4,Robert Aderholt,republican,184255,Robert Aderholt
2018,AL,4,Lee Auman,democrat,46492,
2018,AL,4,NA,NA,222,
2018,AL,5,Mo Brooks,republican,159063,Mo Brooks
2018,AL,5,Peter Joffrion,democrat,101388,
2018,AL,5,NA,NA,222,
2018,AL,6,Gary Palmer,republican,192542,Gary Palmer
2018,AL,6,Danner Kline,democrat,85644,
2018,AL,6,NA,NA,142,
2018,AL,7,Terri Sewell,democrat,185010,Terri Sewell
2018,AL,7,NA,NA,4153,
2018,AK,0,Alyse S. Galvin,democrat,131199,Don Young
2018,AK,0,Don Young,republican,149779,
2018,AK,0,NA,NA,1188,
2018,AZ,1,Wendy Rogers,republican,122784,Tom O'Halleran
2018,AZ,1,Tom O'Halleran,democrat,143240,
2018,AZ,1,NA,NA,65,
2018,AZ,2,Lea Marquez Peterson,republican,133083,Ann Kirkpatrick
2018,AZ,2,Ann Kirkpatrick,democrat,161000,
2018,AZ,2,NA,NA,69,
2018,AZ,3,"Nicolas """"Nick"""" Pierson",republican,64868,Raul Grijalva
2018,AZ,3,Raul Grijalva,democrat,114650,
2018,AZ,4,Paul Gosar,republican,188842,Paul Gosar
2018,AZ,4,David Brill,democrat,84521,
2018,AZ,4,Haryaksha Gregor Knauer,green,3672,
2018,AZ,5,Andy Biggs,republican,186037,Andy Biggs
2018,AZ,5,Joan Greene,democrat,127027,
2018,AZ,6,David Schweikert,republican,173140,David Schweikert
2018,AZ,6,Anita Malik,democrat,140559,
2018,AZ,7,Ruben Gallego,democrat,113044,Ruben Gallego
2018,AZ,7,Gary Swing,green,18706,
2018,AZ,7,NA,NA,301,
2018,AZ,8,Debbie Lesko,republican,168835,Debbie Lesko
2018,AZ,8,Hiral Tipirneni,democrat,135569,
2018,AZ,8,Steven Hummel,NA,13,
2018,AZ,9,Stephen L Ferrara,republican,101662,Greg Stanton
2018,AZ,9,Greg Stanton,democrat,159583,
2018,AR,1,Rick Crawford,republican,138757,Rick Crawford
2018,AR,1,Chintan Desai,democrat,57907,
2018,AR,1,Elvis Presley,libertarian,4581,
2018,AR,2,French Hill,republican,132125,French Hill
2018,AR,2,Joe Ryne Swafford,libertarian,5193,
2018,AR,2,Clarke Tucker,democrat,116135,
2018,AR,3,Michael J. Kalagias,libertarian,5899,Steve Womack
