year,state,state_po,candidate,party,candidatevotes,WINNER
2018,Arizona,AZ,Martha McSally,republican,1135200,Kyrsten Sinema
2018,Arizona,AZ,Kyrsten Sinema,democrat,1191100,
2018,Arizona,AZ,Angela Green,green,57442,
2018,Arizona,AZ,NA,NA,566,
2018,California,CA,Dianne Feinstein,democrat,6019422,Dianne Feinstein
2018,California,CA,Kevin De Leon,democrat,5093942,
2018,Connecticut,CT,Christopher S Murphy,democrat,787685,Christopher S Murphy
2018,Connecticut,CT,Matthew Corey,republican,545717,
2018,Connecticut,CT,Christopher S Murphy,working families,37894,
2018,Connecticut,CT,Richard Lion,libertarian,8838,
2018,Connecticut,CT,Jeff Russell,green,6618,
2018,Connecticut,CT,NA,NA,88,
2018,Delaware,DE,Thomas R Carper,democrat,217385,Thomas R Carper
2018,Delaware,DE,Robert B Arlett,republican,137127,
2018,Delaware,DE,Demitri G Theodoropoulos,green,4170,
2018,Delaware,DE,Nadine M Frost,libertarian,3910,
2018,Florida,FL,Rick Scott,republican,4099505,Rick Scott
2018,Florida,FL,Bill Nelson,democrat,4089472,
2018,Florida,FL,NA,NA,1028,
2018,Hawaii,HI,Mazie K. Hirono,democrat,276316,Mazie K. Hirono
2018,Hawaii,HI,Ron Curtis,republican,112035,
2018,Indiana,IN,Mike Braun,republican,1158000,Mike Braun
2018,Indiana,IN,Joe Donnelly,democrat,1023553,
2018,Indiana,IN,Lucy M. Brenton,libertarian,100942,
2018,Indiana,IN,NA,NA,70,
2018,Maine,ME,Eric L. Brakey,republican,223502,"Angus S. King, Jr."
2018,Maine,ME,"Angus S. King, Jr.",independent,344575,
2018,Maine,ME,Zak Ringelstein,democrat,66268,
2018,Maine,ME,Others,NA,64,
2018,Maryland,MD,Tony Campbell,republican,697017,Ben Cardin
2018,Maryland,MD,Ben Cardin,democrat,1491614,
2018,Maryland,MD,Arvin Vohra,libertarian,22943,
2018,Maryland,MD,Neal Simon,unaffiliated,85964,
2018,Maryland,MD,NA,NA,2351,
2018,Massachusetts,MA,Elizabeth A. Warren,democrat,1633371,Elizabeth A. Warren
2018,Massachusetts,MA,Geoff Diehl,republican,979210,
2018,Massachusetts,MA,Shiva Ayyadurai,unenrolled,91710,
2018,Massachusetts,MA,Others,NA,2799,
2018,Michigan,MI,John James,republican,1938818,Debbie Stabenow
2018,Michigan,MI,Debbie Stabenow,democrat,2214478,
2018,Michigan,MI,George E. Huffman III,us taxpayers,27251,
2018,Michigan,MI,Marcia Squier,green,40204,
2018,Michigan,MI,John Howard Wilhelm,natural law,16502,
2018,Michigan,MI,NA,NA,18,
2018,Minnesota,MN,Jim Newberger,republican,940437,Amy Klobuchar
2018,Minnesota,MN,Amy Klobuchar,democratic-farmer-labor,1566174,
2018,Minnesota,MN,Dennis Schuller,legal marijuana now,66236,
2018,Minnesota,MN,Paula M Overby,minnesota green,23101,
2018,Minnesota,MN,NA,NA,931,
2018,Minnesota,MN,Karin Housley,republican,1095777,
2018,Minnesota,MN,Tina Smith,democratic-farmer-labor,1370540,
2018,Minnesota,MN,Sarah Wellington,legal marijuana now,95614,
2018,Minnesota,MN,Jerry Trooien,unaffiliated,24324,
2018,Minnesota,MN,NA,NA,1101,
2018,Mississippi,MS,David Baria,democrat,369567,Roger F. Wicker
2018,Mississippi,MS,Roger F. Wicker,republican,547619,
2018,Mississippi,MS,Danny Bedwell,libertarian,12981,
2018,Mississippi,MS,Shawn O'Hara,reform,6048,
2018,Mississippi,MS,Cindy Hyde-Smith,republican,486769,
2018,Mississippi,MS,Mike Espy,democrat,420819,
2018,Missouri,MO,Josh Hawley,republican,1254927,Josh Hawley
2018,Missouri,MO,Claire McCaskill,democrat,1112935,
2018,Missouri,MO,Japheth Campbell,libertarian,27316,
2018,Missouri,MO,Jo Crain,green,12706,
2018,Missouri,MO,Craig O'Dear,independent,34398,
2018,Missouri,MO,NA,NA,7,
2018,Montana,MT,Jon Tester,democrat,253876,Jon Tester
2018,Montana,MT,Rick Breckenridge,libertarian,14545,
2018,Montana,MT,Matt Rosendale,republican,235963,
2018,Nebraska,NE,Deb Fischer,republican,403151,Deb Fischer
2018,Nebraska,NE,Jane Raybould,democrat,269917,
2018,Nebraska,NE,Jim Schultz,libertarian,25349,
2018,Nebraska,NE,NA,NA,466,
2018,Nevada,NV,Jacky Rosen,democrat,490071,Jacky Rosen
2018,Nevada,NV,Dean Heller,republican,441202,
2018,Nevada,NV,None of these Candidates,NA,15303,
2018,Nevada,NV,Barry Michaels,independent,9269,
2018,Nevada,NV,Tim Hagan,libertarian,9196,
2018,Nevada,NV,Kamau A. Bakari,independent american,7091,
2018,New Jersey,NJ,Robert Menendez,democrat,1711654,Robert Menendez
2018,New Jersey,NJ,Bob Hugin,republican,1357355,
2018,New Jersey,NJ,Madelyn R. Hoffman,green,25150,
2018,New Jersey,NJ,Murray Sabrin,libertarian,21212,
2018,New Jersey,NJ,Natalie Lynn Rivera,for the people,19897,
2018,New Jersey,NJ,Tricia Flanagan,new day nj,16101,
2018,New Jersey,NJ,Kevin Kimple,make it simple,9087,
2018,New Jersey,NJ,Hank Schroeder,economic growth,8854,
2018,New Mexico,NM,Martin T Heinrich,democrat,376998,Martin T Heinrich
2018,New Mexico,NM,Gary E Johnson,libertarian,107201,
2018,New Mexico,NM,Mick Rich,republican,212813,
2018,New York,NY,Kirsten E. Gillibrand,democrat,3755489,Kirsten E. Gillibrand
2018,New York,NY,Chele Chiavacci Farley,republican,1730439,
2018,New York,NY,Chele Chiavacci Farley,conservative,246171,
2018,New York,NY,Kirsten E. Gillibrand,working families,160128,
2018,New York,NY,Kirsten E. Gillibrand,independence,99325,
2018,New York,NY,Kirsten E. Gillibrand,women's equality,41989,
2018,New York,NY,Chele Chiavacci Farley,reform,21610,
2018,North Dakota,ND,Kevin Cramer,republican,179720,Heidi Heitkamp
2018,North Dakota,ND,Heidi Heitkamp,democratic-npl,144376,
2018,North Dakota,ND,NA,NA,2042,
2018,Ohio,OH,Sherrod Brown,democrat,2355923,Sherrod Brown
2018,Ohio,OH,NA,NA,1012,
2018,Ohio,OH,Jim Renacci,republican,2053963,
2018,Pennsylvania,PA,Robert P Casey Jr,democrat,2777680,Robert P Casey Jr
2018,Pennsylvania,PA,Louis J. Barletta,republican,2134848,
2018,Pennsylvania,PA,Neal Taylor Gale,green,31208,
2018,Pennsylvania,PA,Dale R Kerns Jr,libertarian,50907,
2018,Rhode Island,RI,Sheldon Whitehouse,democrat,231477,Sheldon Whitehouse
